date,1. open,2. high,3. low,4. close,5. volume
2021-09-01 20:00:00,153.18,153.25,153.15,153.16,8698.0
2021-09-01 19:59:00,153.23,153.25,153.18,153.18,2774.0
2021-09-01 19:58:00,153.2,153.25,153.2,153.23,4830.0
2021-09-01 19:57:00,153.22,153.25,153.2,153.2,2289.0
2021-09-01 19:56:00,153.16,153.2,153.16,153.2,2928.0
2021-09-01 19:55:00,153.05,153.15,153.05,153.15,6748.0
2021-09-01 19:54:00,153.13,153.13,153.08,153.08,2155.0
2021-09-01 19:53:00,153.09,153.125,153.09,153.09,1979.0
2021-09-01 19:52:00,153.09,153.09,153.08,153.08,1001.0
2021-09-01 19:51:00,153.04,153.08,153.04,153.08,797.0
2021-09-01 19:50:00,153.04,153.1,153.04,153.04,5404.0
2021-09-01 19:49:00,153.03,153.03,153.03,153.03,313.0
2021-09-01 19:48:00,153.04,153.04,153.04,153.04,804.0
2021-09-01 19:47:00,153.04,153.04,153.02,153.03,2750.0
2021-09-01 19:46:00,153.02,153.04,153.02,153.04,737.0
2021-09-01 19:45:00,153.02,153.04,153.02,153.04,693.0
2021-09-01 19:43:00,153.0,153.02,153.0,153.02,918.0
2021-09-01 19:42:00,153.0,153.0,153.0,153.0,618.0
2021-09-01 19:41:00,153.01,153.01,153.01,153.01,542.0
2021-09-01 19:40:00,153.01,153.01,153.01,153.01,573.0
2021-09-01 19:39:00,153.01,153.01,153.01,153.01,280.0
2021-09-01 19:38:00,153.01,153.02,153.01,153.02,1432.0
2021-09-01 19:37:00,153.02,153.02,153.02,153.02,607.0
2021-09-01 19:35:00,153.01,153.01,153.0,153.0,207.0
2021-09-01 19:34:00,153.0,153.01,153.0,153.01,476.0
2021-09-01 19:33:00,153.01,153.01,153.01,153.01,254.0
2021-09-01 19:32:00,152.99,152.99,152.9801,152.9801,546.0
2021-09-01 19:31:00,152.98,153.0,152.98,153.0,6297.0
2021-09-01 19:30:00,152.99,152.99,152.99,152.99,330.0
2021-09-01 19:28:00,152.96,152.96,152.96,152.96,1077.0
2021-09-01 19:27:00,152.97,152.99,152.97,152.99,396.0
2021-09-01 19:26:00,152.99,152.99,152.99,152.99,223.0
2021-09-01 19:25:00,152.99,152.99,152.99,152.99,190.0
2021-09-01 19:24:00,152.94,152.99,152.94,152.99,697.0
2021-09-01 19:23:00,152.94,152.95,152.94,152.95,851.0
2021-09-01 19:20:00,152.95,152.95,152.95,152.95,293.0
2021-09-01 19:19:00,152.96,152.98,152.95,152.97,3552.0
2021-09-01 19:18:00,152.96,152.98,152.96,152.98,1830.0
2021-09-01 19:17:00,152.99,152.99,152.96,152.96,1690.0
2021-09-01 19:16:00,152.96,152.96,152.96,152.96,1464.0
2021-09-01 19:15:00,152.98,152.98,152.98,152.98,205.0
2021-09-01 19:14:00,152.96,152.96,152.96,152.96,517.0
2021-09-01 19:12:00,152.96,152.98,152.96,152.98,1015.0
2021-09-01 19:10:00,152.97,152.97,152.97,152.97,1006.0
2021-09-01 19:09:00,152.97,152.97,152.97,152.97,742.0
2021-09-01 19:08:00,152.98,152.98,152.96,152.98,850.0
2021-09-01 19:07:00,152.96,152.96,152.96,152.96,190.0
2021-09-01 19:06:00,152.98,152.98,152.98,152.98,152.0
2021-09-01 19:05:00,152.98,152.98,152.98,152.98,248.0
2021-09-01 19:03:00,152.97,152.97,152.97,152.97,688.0
2021-09-01 19:02:00,152.95,152.97,152.95,152.97,252.0
2021-09-01 19:01:00,152.98,152.98,152.97,152.97,316.0
2021-09-01 19:00:00,152.97,152.97,152.97,152.97,579.0
2021-09-01 18:59:00,152.96,152.99,152.96,152.9701,1681.0
2021-09-01 18:58:00,152.99,153.0,152.99,153.0,4385.0
2021-09-01 18:57:00,152.99,152.99,152.98,152.99,2275.0
2021-09-01 18:56:00,152.95,153.0,152.95,153.0,3094.0
2021-09-01 18:55:00,152.95,152.95,152.95,152.95,3005.0
2021-09-01 18:54:00,152.95,152.95,152.95,152.95,353.0
2021-09-01 18:53:00,152.94,152.95,152.94,152.95,3704.0
2021-09-01 18:51:00,152.93,152.93,152.93,152.93,3032.0
2021-09-01 18:50:00,152.93,152.94,152.93,152.93,792.0
2021-09-01 18:49:00,152.94,152.94,152.94,152.94,561.0
2021-09-01 18:47:00,152.94,152.94,152.94,152.94,342.0
2021-09-01 18:45:00,152.94,152.94,152.94,152.94,230.0
2021-09-01 18:44:00,152.93,152.94,152.93,152.94,800.0
2021-09-01 18:43:00,152.94,152.94,152.94,152.94,1127.0
2021-09-01 18:42:00,152.95,152.95,152.95,152.95,313.0
2021-09-01 18:40:00,152.94,152.94,152.94,152.94,810.0
2021-09-01 18:39:00,152.95,152.95,152.95,152.95,506.0
2021-09-01 18:38:00,152.9799,152.9799,152.9799,152.9799,295.0
2021-09-01 18:37:00,152.96,152.96,152.96,152.96,223.0
2021-09-01 18:36:00,152.95,152.95,152.95,152.95,999.0
2021-09-01 18:35:00,152.99,152.99,152.99,152.99,326.0
2021-09-01 18:34:00,152.97,152.99,152.97,152.99,941.0
2021-09-01 18:33:00,152.95,152.96,152.95,152.96,570.0
2021-09-01 18:32:00,152.96,152.96,152.96,152.96,827.0
2021-09-01 18:30:00,152.98,153.0,152.98,153.0,605.0
2021-09-01 18:29:00,152.96,152.98,152.95,152.98,735.0
2021-09-01 18:28:00,152.95,152.95,152.95,152.95,688.0
2021-09-01 18:27:00,152.92,152.92,152.92,152.92,760.0
2021-09-01 18:26:00,152.92,152.92,152.92,152.92,548.0
2021-09-01 18:25:00,152.95,152.95,152.92,152.92,1875.0
2021-09-01 18:24:00,152.97,152.97,152.93,152.93,1301.0
2021-09-01 18:23:00,152.99,152.99,152.96,152.96,1105.0
2021-09-01 18:22:00,152.99,152.99,152.99,152.99,820.0
2021-09-01 18:20:00,153.0,153.0,152.95,152.95,3707.0
2021-09-01 18:19:00,153.005,153.005,153.0,153.0,478.0
2021-09-01 18:18:00,153.01,153.01,153.0,153.0099,1705.0
2021-09-01 18:17:00,153.03,153.03,153.02,153.02,2005.0
2021-09-01 18:16:00,153.02,153.03,153.02,153.03,494.0
2021-09-01 18:15:00,153.02,153.02,153.0,153.02,1259.0
2021-09-01 18:14:00,153.04,153.04,153.0,153.0,1205.0
2021-09-01 18:13:00,153.02,153.05,153.02,153.05,2250.0
2021-09-01 18:12:00,153.05,153.05,153.02,153.03,1563.0
2021-09-01 18:11:00,153.03,153.03,153.02,153.02,428.0
2021-09-01 18:10:00,153.02,153.04,153.0,153.04,1619.0
2021-09-01 18:09:00,152.94,153.02,152.93,153.02,1439.0
2021-09-01 18:08:00,153.01,153.02,152.93,152.99,4637.0
2021-09-01 18:07:00,152.92,153.0,152.91,153.0,6705.0
2021-09-01 18:06:00,152.9,152.9,152.9,152.9,167.0
2021-09-01 18:05:00,152.91,152.91,152.9,152.9,1003.0
2021-09-01 18:04:00,153.0,153.0,152.91,152.91,563.0
2021-09-01 18:03:00,152.98,153.0,152.94,152.94,3656.0
2021-09-01 18:02:00,152.94,153.0,152.94,153.0,2330.0
2021-09-01 18:01:00,152.99,152.99,152.96,152.96,626.0
2021-09-01 18:00:00,152.9,152.9,152.88,152.88,597.0
2021-09-01 17:59:00,152.9799,152.9799,152.86,152.86,2002.0
2021-09-01 17:58:00,152.89,152.9799,152.85,152.9799,3129.0
2021-09-01 17:57:00,152.9,152.97,152.9,152.97,2701.0
2021-09-01 17:56:00,152.84,152.84,152.84,152.84,930.0
2021-09-01 17:55:00,152.84,152.84,152.84,152.84,508.0
2021-09-01 17:54:00,152.84,152.84,152.8,152.8,1401.0
2021-09-01 17:53:00,152.84,152.84,152.83,152.83,7652.0
2021-09-01 17:52:00,152.84,153.0,152.83,152.85,7104.0
2021-09-01 17:51:00,152.84,152.89,152.84,152.89,2115.0
2021-09-01 17:50:00,152.88,152.88,152.88,152.88,586.0
2021-09-01 17:48:00,152.9,152.9,152.85,152.85,1054.0
2021-09-01 17:47:00,152.98,152.98,152.86,152.86,665.0
2021-09-01 17:46:00,152.99,152.99,152.84,152.84,1326.0
2021-09-01 17:45:00,153.0,153.02,152.95,153.02,3778.0
2021-09-01 17:44:00,153.0,153.0,152.97,153.0,3642.0
2021-09-01 17:42:00,153.01,153.01,153.01,153.01,568.0
2021-09-01 17:41:00,153.0,153.0,153.0,153.0,1232.0
2021-09-01 17:40:00,153.05,153.05,153.01,153.01,851.0
2021-09-01 17:39:00,153.09,153.1,153.06,153.1,3606.0
2021-09-01 17:38:00,153.07,153.07,153.05,153.05,731.0
2021-09-01 17:37:00,152.98,153.06,152.98,153.06,2009.0
2021-09-01 17:36:00,152.93,152.99,152.93,152.99,538.0
2021-09-01 17:35:00,153.08,153.08,152.88,153.06,1624.0
2021-09-01 17:34:00,153.13,153.135,152.87,152.87,7809.0
