Date,Open,High,Low,Close,Adj Close,Volume
2020-08-19,339.04998779296875,339.6099853515625,336.6199951171875,337.2300109863281,332.28082275390625,68054200
2020-08-20,335.3599853515625,338.79998779296875,335.2200012207031,338.2799987792969,333.3154296875,42207800
2020-08-21,337.9200134277344,339.7200012207031,337.54998779296875,339.4800109863281,334.4978332519531,55106600
2020-08-24,342.1199951171875,343.0,339.45001220703125,342.9200134277344,337.8873596191406,48588700
2020-08-25,343.5299987792969,344.2099914550781,342.2699890136719,344.1199951171875,339.0697021484375,38463400
2020-08-26,344.760009765625,347.8599853515625,344.1700134277344,347.57000732421875,342.4690856933594,50790200
2020-08-27,348.510009765625,349.8999938964844,346.5299987792969,348.3299865722656,343.2179260253906,58034100
2020-08-28,349.44000244140625,350.7200012207031,348.1499938964844,350.5799865722656,345.4349060058594,48588900
2020-08-31,350.3500061035156,351.29998779296875,349.05999755859375,349.30999755859375,344.18353271484375,66099200
2020-09-01,350.2099914550781,352.7099914550781,349.239990234375,352.6000061035156,347.4252624511719,54908700
2020-09-02,354.6700134277344,358.75,353.42999267578125,357.70001220703125,352.450439453125,69540000
2020-09-03,355.8699951171875,356.3800048828125,342.5899963378906,345.3900146484375,340.32110595703125,148011100
2020-09-04,346.1300048828125,347.8299865722656,334.8699951171875,342.57000732421875,337.5424499511719,139156300
2020-09-08,336.7099914550781,342.6400146484375,332.8800048828125,333.2099914550781,328.3197937011719,114465300
2020-09-09,337.54998779296875,342.4599914550781,336.6099853515625,339.7900085449219,334.80328369140625,91462300
2020-09-10,341.82000732421875,342.5299987792969,332.8500061035156,333.8900146484375,328.9898681640625,90569500
2020-09-11,335.82000732421875,336.9700012207031,331.0,334.05999755859375,329.1573486328125,84680200
2020-09-14,337.489990234375,340.3800048828125,334.2200012207031,338.4599914550781,333.4927978515625,65605700
2020-09-15,341.1199951171875,342.0199890136719,338.4700012207031,340.1700134277344,335.1777038574219,52920900
2020-09-16,341.510009765625,343.05999755859375,338.5199890136719,338.82000732421875,333.84747314453125,82096000
2020-09-17,333.55999755859375,337.70001220703125,332.989990234375,335.8399963378906,330.9112243652344,91523300
2020-09-18,335.3699951171875,335.489990234375,327.9700012207031,330.6499938964844,327.1015319824219,105877900
2020-09-21,325.70001220703125,327.1300048828125,321.7300109863281,326.9700012207031,323.4610290527344,99450800
2020-09-22,328.57000732421875,330.8999938964844,325.8599853515625,330.29998779296875,326.75531005859375,63612100
2020-09-23,330.8999938964844,331.20001220703125,322.1000061035156,322.6400146484375,319.17755126953125,93112200
2020-09-24,321.2200012207031,326.79998779296875,319.79998779296875,323.5,320.0282897949219,76681300
2020-09-25,322.5799865722656,329.5799865722656,321.6400146484375,328.7300109863281,325.2021484375,71069400
2020-09-28,333.2200012207031,334.9599914550781,332.1499938964844,334.19000244140625,330.60357666015625,64584600
2020-09-29,333.9700012207031,334.7699890136719,331.6199951171875,332.3699951171875,328.8031005859375,51304000
2020-09-30,333.0899963378906,338.2900085449219,332.8800048828125,334.8900146484375,331.2960510253906,104081100
2020-10-01,337.69000244140625,338.739990234375,335.010009765625,337.0400085449219,333.4229736328125,88698700
2020-10-02,331.70001220703125,337.010009765625,331.19000244140625,333.8399963378906,330.25732421875,89431100
2020-10-05,336.05999755859375,339.9599914550781,336.010009765625,339.760009765625,336.11376953125,45713100
2020-10-06,339.9100036621094,342.1700134277344,334.3800048828125,334.92999267578125,331.33563232421875,90128900
2020-10-07,338.1199951171875,341.6300048828125,338.0899963378906,340.760009765625,337.10308837890625,56999600
2020-10-08,342.8500061035156,343.8500061035156,341.8599853515625,343.7799987792969,340.09063720703125,45242500
2020-10-09,345.55999755859375,347.3500061035156,344.8900146484375,346.8500061035156,343.127685546875,59528600
2020-10-12,349.5899963378906,354.0199890136719,349.05999755859375,352.42999267578125,348.6478271484375,80388500
2020-10-13,352.2799987792969,352.4700012207031,349.0899963378906,350.1300048828125,346.37249755859375,73255500
2020-10-14,350.75,351.92999267578125,347.1400146484375,347.92999267578125,344.19610595703125,57727900
2020-10-15,343.7099914550781,348.0199890136719,343.1300048828125,347.5,343.77069091796875,60357700
2020-10-16,348.9599914550781,350.75,347.1000061035156,347.2900085449219,343.56298828125,89501900
2020-10-19,348.6499938964844,349.3299865722656,341.0400085449219,342.010009765625,338.3396301269531,68425600
2020-10-20,343.4599914550781,346.8800048828125,342.6400146484375,343.3800048828125,339.6949462890625,60051900
2020-10-21,343.3299865722656,345.6700134277344,342.3999938964844,342.7300109863281,339.05194091796875,63575000
2020-10-22,342.9599914550781,345.239990234375,340.6499938964844,344.6099853515625,340.9117126464844,55399300
2020-10-23,345.92999267578125,345.989990234375,343.1300048828125,345.7799987792969,342.0691833496094,49143900
2020-10-26,342.1300048828125,342.9800109863281,335.6199951171875,339.3900146484375,335.747802734375,91473000
2020-10-27,339.760009765625,340.1199951171875,337.989990234375,338.2200012207031,334.59033203125,65994100
2020-10-28,332.1000061035156,338.25,326.1300048828125,326.6600036621094,323.15435791015625,127094300
2020-10-29,326.9100036621094,333.3999938964844,325.0899963378906,329.9800109863281,326.4387512207031,90597700
2020-10-30,328.2799987792969,329.69000244140625,322.6000061035156,326.5400085449219,323.0356750488281,120287300
2020-11-02,330.20001220703125,332.3599853515625,327.239990234375,330.20001220703125,326.6564025878906,86068300
2020-11-03,333.69000244140625,338.25,330.2900085449219,336.0299987792969,332.4237976074219,93294200
2020-11-04,340.8599853515625,347.94000244140625,339.5899963378906,343.5400085449219,339.8532409667969,126959700
2020-11-05,349.239990234375,352.19000244140625,348.8599853515625,350.239990234375,346.4813232421875,82039700
2020-11-06,349.92999267578125,351.510009765625,347.6499938964844,350.1600036621094,346.40216064453125,74973000
2020-11-09,363.9700012207031,364.3800048828125,354.05999755859375,354.55999755859375,350.75494384765625,172304200
2020-11-10,353.489990234375,355.17999267578125,350.510009765625,354.0400085449219,350.2405700683594,85552000
2020-11-11,356.3999938964844,357.55999755859375,355.05999755859375,356.6700134277344,352.84234619140625,58649000
